#lon lat str1 dip1 rake1 str2 dip2 rake2 sc iexp name
76.87 40.20 258 37 91 77 53 90 1.531 23 200609060751A
78.09 35.62 260 68 -21 358 71 -157 2.169 24 200609111812A
93.26 21.99 216 70 2 126 88 160 3.676 23 200611031443A
75.32 42.65 84 40 97 255 50 84 2.069 23 200611080221A
92.61 24.61 141 46 154 249 72 47 3.037 23 200611101321A
83.47 44.26 231 39 52 96 61 116 4.947 23 200611231104A
74.56 39.83 299 51 130 66 54 52 4.204 23 200612240158A
76.06 42.17 30 37 34 272 70 122 6.990 24 200612252001A
98.30 22.04 92 71 -1 182 89 -161 2.096 23 200701071047A
70.17 39.85 187 65 13 91 78 155 1.426 25 200701081721A
70.04 39.82 199 47 61 57 50 117 7.655 23 200701311052A
71.12 39.15 213 45 58 75 53 118 7.623 23 200702022202A
91.85 37.87 111 45 114 258 49 67 1.453 24 200702022232A
73.00 36.79 141 53 -135 19 56 -47 5.230 23 200702110439A
90.63 33.10 66 67 -19 164 73 -156 1.343 24 200702250149A
89.49 35.50 41 46 -51 172 56 -123 3.946 23 200703151830A
89.50 35.56 41 45 -47 168 59 -124 4.722 23 200703162151A
70.62 36.53 30 32 141 155 71 64 2.943 25 200704030335A
89.51 35.50 36 47 -56 171 53 -121 3.117 23 200704091623A
98.31 45.44 10 72 162 106 73 19 2.886 23 200704141722A
72.62 39.50 223 49 52 93 53 126 3.488 23 200704151359A
74.81 39.60 131 71 -179 41 89 -19 2.655 23 200704152220A
81.97 34.33 220 88 2 130 88 178 1.537 25 200705050851A
90.03 34.67 347 74 179 77 89 16 3.600 23 200705051738A
94.58 23.02 229 69 13 134 77 159 3.816 23 200705070558A
97.95 31.44 210 73 -173 118 84 -17 2.039 24 200705071159A
88.56 27.23 204 58 -4 296 86 -148 2.471 23 200705201418A
75.36 42.71 89 38 86 274 52 93 3.803 23 200706061109A
100.00 21.49 61 81 8 330 82 171 3.307 24 200706230817A
99.93 21.46 334 60 -167 237 79 -31 1.569 24 200706230827A
96.79 25.40 105 82 -4 196 86 -172 0.892 24 200706292324A
82.38 42.93 324 66 175 55 86 24 2.739 24 200707201006A
70.17 38.98 185 51 35 71 63 135 8.329 23 200707212244A
70.26 36.04 260 36 64 111 58 108 3.455 23 200707250621A
71.24 39.25 50 41 83 239 49 96 3.323 23 200707310247A
71.32 37.01 309 34 -8 45 86 -124 5.639 23 200708080037A
76.62 35.27 274 66 -10 8 80 -156 6.705 23 200710260650A
72.95 38.50 85 65 -174 352 84 -25 2.012 24 200711060215A
70.49 21.04 324 65 172 58 83 25 5.544 23 200711060938A
92.50 22.15 251 81 -7 343 83 -171 1.974 24 200711070710A
70.89 36.61 221 8 124 7 83 85 6.839 23 200712021157A
94.66 23.46 135 42 120 277 54 65 3.753 23 200712070656A
77.53 35.06 263 53 -13 1 79 -143 4.900 23 200712111556A
70.02 30.48 164 73 3 74 88 163 3.112 23 200712180556A
73.05 40.34 273 43 72 117 49 106 5.819 23 200712260445A
84.51 36.44 236 64 0 146 90 154 3.929 23 200712300955A
71.97 41.11 299 37 110 94 56 75 3.812 23 200712311823A
72.90 40.34 265 38 82 95 53 96 2.909 24 200801010632A
85.32 32.30 206 46 -75 6 46 -105 5.023 25 200801090826A
92.36 22.65 353 35 104 157 56 81 2.584 23 200801122244A
85.25 32.33 34 45 -67 183 50 -111 2.879 23 200801140321A
85.29 32.35 23 44 -87 198 46 -93 0.866 25 200801161154A
85.26 32.42 7 31 -115 215 62 -75 3.130 23 200801170709A
70.55 36.47 285 20 93 101 70 89 7.163 23 200801191925A
85.22 32.31 45 35 -60 190 60 -109 1.902 24 200801221843A
83.48 49.74 220 43 78 56 48 101 2.733 23 200801292002A
70.69 36.45 292 20 123 77 73 79 2.556 23 200802230441A
81.37 35.43 358 41 -110 203 52 -74 5.432 26 200803202233A
81.65 35.89 199 40 -62 344 55 -112 0.920 24 200803210616A
81.43 35.39 200 40 -73 358 52 -104 0.726 24 200803211202A
97.81 24.54 348 82 179 79 89 8 6.043 23 200803211237A
81.16 35.09 222 56 -21 324 73 -145 3.469 23 200803212052B
81.65 35.86 206 47 -46 331 58 -126 5.755 23 200803232056A
81.64 35.80 224 67 7 131 83 157 5.038 23 200803240758A
81.66 35.85 141 80 172 233 82 10 0.774 24 200803261039A
75.05 39.48 302 45 119 84 52 64 4.133 23 200804100717A
81.29 35.28 128 73 177 219 87 17 3.771 23 200804180301A
82.73 45.97 303 81 175 34 85 9 3.341 23 200804201314A
85.42 32.65 328 60 -173 235 84 -30 3.535 23 200804251204A
81.28 35.23 190 34 -71 347 58 -102 2.742 23 200805060525A
70.62 36.38 282 22 103 88 68 85 1.533 24 200805112057A
92.19 33.08 154 63 -155 52 68 -29 7.374 23 200806081756A
85.32 32.40 354 41 -114 204 53 -70 5.159 23 200806081824A
92.25 33.13 160 57 -146 49 62 -38 1.733 24 200806101004A
92.22 33.04 168 49 -142 51 63 -48 5.591 23 200806101104A
92.23 33.18 242 53 -27 349 69 -140 2.883 23 200806101136A
92.22 33.07 170 47 -131 42 57 -55 0.963 24 200806101415A
91.33 35.31 252 88 0 162 90 178 1.788 24 200806180523A
92.21 33.09 154 62 -156 52 69 -31 7.055 23 200806180812A
92.19 33.13 65 67 -16 161 75 -157 2.947 23 200806192237A
88.20 35.73 341 76 177 71 87 14 4.036 23 200806290841A
88.44 35.76 259 82 -4 349 86 -172 2.293 24 200806291247A
88.36 35.72 250 82 -8 341 82 -172 0.846 24 200807022022A
95.34 25.95 137 45 135 262 60 55 2.499 23 200807070250A
72.89 39.47 216 39 57 76 58 114 4.131 23 200807081608A
92.24 33.15 159 68 -160 61 71 -23 1.305 24 200807162258A
87.26 37.85 229 76 9 137 81 166 3.340 23 200807181247A
71.21 41.52 212 47 67 63 48 112 1.965 23 200808010129A
92.22 33.13 49 60 -27 153 67 -147 4.605 23 200808052159A
83.92 31.70 334 70 -165 239 75 -21 2.264 23 200808082148A
92.20 33.13 49 49 -51 179 54 -126 1.954 23 200808101757B
92.02 32.16 59 71 -10 152 81 -160 2.408 23 200808102254A
71.06 36.32 319 37 -1 49 89 -127 4.632 23 200808120525A
91.93 33.65 170 84 -178 79 88 -6 0.950 24 200808181411A
98.03 25.09 21 42 -117 235 53 -68 3.953 23 200808192135A
97.99 24.92 7 80 178 97 88 10 1.311 25 200808211224A
83.51 30.61 30 48 -48 157 56 -127 1.391 26 200808251322A
83.48 30.41 158 41 -114 8 54 -71 5.521 23 200808251913A
83.72 30.85 225 68 -19 322 72 -156 3.613 23 200808252040A
91.51 31.69 150 82 -179 60 89 -8 2.554 23 200808260746A
83.52 30.58 171 39 -90 351 51 -90 2.644 23 200808290943A
83.96 42.79 265 39 118 50 57 69 1.140 24 200808301246A
83.67 30.73 209 74 -15 303 76 -163 4.568 23 200808302131A
98.02 24.84 276 84 0 186 90 174 3.634 23 200809030627A
80.24 30.08 333 59 -163 234 75 -32 3.825 23 200809041253A
71.12 36.52 205 26 72 44 65 98 1.613 24 200809050457A
70.78 36.49 85 18 104 250 72 85 7.047 24 200809060547A
83.71 30.79 206 77 -12 298 79 -166 1.178 24 200809100114A
83.64 30.69 317 68 -163 221 74 -23 1.621 24 200809100128A
73.23 38.30 347 54 -23 91 72 -141 0.975 24 200809200254A
71.12 36.10 238 46 141 358 63 51 0.849 24 200809241759A
83.69 30.66 208 75 -13 302 77 -165 1.096 25 200809250147A
83.71 30.72 204 62 -12 300 79 -152 2.743 23 200809252017A
73.64 39.50 246 38 78 82 53 99 1.397 26 200810051552A
90.50 29.66 44 48 -55 178 53 -122 3.649 25 200810060830A
90.53 29.56 173 43 -121 33 54 -64 0.825 24 200810061210A
90.57 29.76 69 62 -25 171 68 -150 1.924 24 200810081407A
70.71 36.17 284 57 147 34 63 38 0.986 24 200810130807A
73.88 39.54 218 72 2 128 88 162 5.449 23 200810130923A
73.69 39.50 205 40 29 92 72 126 7.349 23 200810131605A
70.10 38.80 47 28 128 186 68 72 0.905 24 200810131716A
91.32 35.26 341 86 -177 251 87 -4 4.050 23 200810201426A
92.80 33.69 185 86 -179 95 89 -4 2.080 23 200810201508A
73.73 39.52 76 44 109 230 49 73 2.382 23 200810230550A
70.46 36.44 273 18 87 97 72 91 5.034 24 200810260128A
73.98 39.61 258 28 132 32 69 70 3.328 23 200811061423A
95.75 37.51 252 28 57 108 67 106 4.061 25 200811100122A
95.82 37.52 357 41 158 104 76 51 5.458 23 200811112156A
95.93 37.58 307 37 88 129 53 91 2.650 23 200811121209A
82.01 29.65 230 62 -17 328 75 -151 0.988 24 200812080859A
81.31 35.32 209 46 -66 355 49 -114 3.116 23 200812111316A
