88.82   38.16   326   42    146    82   68     53    1.640   25   100293E
76.50   39.73   219   74      4   128   87    164    2.800   24   113093E
73.72   17.41    44   45    -49   173   58   -123    5.520   23   120893B
71.46   37.30   257   31    -60    43   63   -107    5.730   23   010294A
97.40   24.80   106   25    -85   281   65    -92    1.600   25   011194A
76.53   39.15   298   60    151    44   65     34    2.110   24   011294E
97.05   25.62    96   57     26   352   68    144    7.150   24   040694D
71.63   39.12     1   24     60   214   69    103    6.810   23   050194G
94.17   20.45   220   32     -8   316   86   -122    6.500   25   052994C
93.68   32.57     9   40   -105   208   51    -78    7.720   24   062994C
93.76   32.53   346   38   -118   200   57    -70    4.260   23   063094B
71.00   36.34   216   40     97    27   51     84    3.120   25   063094C
70.36   36.60   332   16    142    99   80     77    7.050   23   071094B
86.51   31.04   142   67    171   235   82     23    1.570   24   072394I
71.31   37.27   304   38    -18    48   79   -127    8.640   23   072494F
93.88   21.61   216   73      0   306   90   -163    4.570   24   080394E
94.97   24.76   111   34    120   257   61     71    1.830   25   080894D
89.18   34.97    61   68      5   329   85    158    8.260   23   081494D
96.58   17.96    83   73     -5   175   85   -163    4.810   24   081994C
90.19   38.42   238   58     -6   331   85   -148    7.720   23   090794C
99.91   19.41    64   27    -55   206   68   -107    8.180   23   091194B
71.00   36.25   272   40    110    67   53     74    7.740   24   102594B
96.83   25.37    34   76    179   124   89     14    9.250   24   112194C
70.89   36.16   244   26    123    28   69     75   13.400   23   122694D
90.57   35.75    31   25   -116   240   68    -78    6.600   23   122894B
71.53   36.24   254   38    148    10   71     57    7.700   23   012695C
71.36   37.17   107   56    162   207   75     35   10.890   23   012995A
92.62   27.48   322   46   -172   226   84    -44    1.830   24   021795A
70.84   39.62     1   71     -6    93   85   -161    9.750   23   022095B
95.02   24.83   278   39     60   135   57    112    4.840   25   050695A
94.94   25.00   142   33    118   289   62     73    6.840   23   050995A
70.67   36.67    52   21     67   256   70     99    6.170   24   051695A
70.13   32.44   212   27     55    70   68    106    3.430   24   061195C
99.28   21.92    64   66      3   333   88    156    7.530   24   070995D
99.22   21.89    60   85      1   330   89    175    1.910   26   071195A
71.18   36.22   239   24    141     5   75     71    3.250   24   081795P
70.45   36.18    87   25     96   261   65     87    2.230   25   101895A
71.30   37.22   210   22    117     1   70     79    2.690   23   111695A
97.63   34.74    46   81    176   137   86      9    3.980   24   121895B
73.26   38.40   174   31    -77   339   60    -98    8.810   23   122395B
78.16   37.72   138   23    114   293   69     80    6.180   23   122495B
