#EVID      lat         lon       depth[km]  erLat[m] erLon[m] erdep[m]   yy mm dd hh mi sec     Mlv T    RMS GAP MDist Nob
201303050  27.247474   91.337966     9.652     430.2    536.1   1709.1 2013 03 10 16 43 39.064  3.3 T  0.091  84  14.8  29
201303051  27.776230   91.395469    22.719    3331.5   6426.5   4086.6 2013 03 11 03 56 12.069  1.8 T  0.022 252  11.0   7
201303052  27.256895   91.421659     9.984    1236.2    802.0   4955.0 2013 03 11 12 11 14.844  2.1 T  0.067 108   9.0   8
201303053  27.402702   89.908770     9.594     836.6    793.5   6588.9 2013 03 11 14 37 54.811  1.8 T  0.040 126  23.4   7
201303054  27.292118   92.012332    -3.961    2163.8    771.6   4962.4 2013 03 11 18 50 07.374  2.5 T  0.102 275  41.9  17
201303055  27.024259   89.229395    25.453    4807.9    904.5   7936.0 2013 03 11 23 30 36.992  1.5 T  0.068 281  30.9  15
201303056  27.665236   89.824811    29.223     861.3    751.0   1209.8 2013 03 12 16 50 09.669  1.5 T  0.047 132   5.0  14
201303057  27.159417   91.447092     6.664    4723.5    797.0   4307.1 2013 03 12 18 31 13.291  0.8 T  0.052 237  11.0   6
201303058  27.048423   92.518799    54.496    1944.0   1437.9   1030.5 2013 03 12 19 05 48.173  3.7 T  0.195 315  93.0  32
201303059  26.180544   90.643507    37.875     837.3   4387.0   6528.9 2013 03 15 19 07 47.781  2.7 T  0.061 254 105.5  12
201303060  27.084056   89.263219    13.383    2787.3    849.5   4736.3 2013 03 16 15 02 51.892  1.7 T  0.092 276  27.4  11
201303061  27.839304   90.141240    15.961     783.9   1183.0   3898.9 2013 03 16 22 37 29.070  2.3 T  0.070 185  32.2  15
201303062  26.429972   91.943906    49.574    2551.0    706.5   1047.2 2013 03 16 23 19 35.196  3.7 T  0.131 204  60.7  27
201303063  29.160577   90.205664    14.828    2795.2   2807.9  11201.3 2013 03 17 03 53 33.501  3.4 T  0.081 217 107.6   7
201303064  29.158120   90.209892     9.242    1411.6   1227.6   5433.1 2013 03 17 03 59 52.751  4.0 T  0.107 216 107.4  15
201303065  27.138119   89.842521    -0.523    8098.8   1006.9   9375.3 2013 03 17 16 35 31.026  1.1 T  0.099 276  28.9   9
201303066  26.316521   89.862330    27.953    2023.7   6579.1   7116.9 2013 03 17 17 25 10.741  2.3 T  0.051 294  76.9   6
201303067  27.430552   91.893785    22.641    4280.0   1174.9   6949.7 2013 03 17 22 10 20.791  1.9 T  0.111 267  32.2  16
201303068  27.016886   89.200515    24.477    2622.2   1379.1   1766.8 2013 03 18 10 26 31.717  2.3 T  0.107 289  34.6  11
201303069  27.640252   90.004582    27.484    3989.5   3488.4   9193.5 2013 03 19 22 16 21.752  1.1 T  0.278 182  16.7   8
201303070  26.796537   92.252068    -0.250   11930.2   5779.7  19743.8 2013 03 20 05 40 58.365  2.8 T  0.029 338  72.0   6
201303071  27.429733   89.901704     5.961    1010.8   1259.6   6797.0 2013 03 21 07 22 34.928  1.5 T  0.026  95  22.5   7
201303072  25.854526   91.617990    25.453    7288.8   2417.2   5764.8 2013 03 21 16 30 08.717  2.7 T  0.107 201  40.0   8
201303073  27.228634   91.576881    11.762    1420.5    467.3   1293.2 2013 03 22 18 27 57.227  1.6 T  0.067 138   3.1  15
201303074  27.279830   92.168384    -3.922    5284.9   3188.1  14099.1 2013 03 22 22 14 46.864  1.4 T  0.123 318  56.8   6
201303075  27.508371   91.716062     0.023    2512.1    798.6   4907.7 2013 03 23 22 41 39.777  0.8 T  0.049 273  18.1  10
201303076  27.355191   90.094401    -1.734    4755.6   1409.1   9874.4 2013 03 24 19 43 34.635  0.9 T  0.034 164  22.0   4
201303077  27.410074   91.186253     8.617    1221.9   2576.2   5843.8 2013 03 24 23 37 58.031  1.3 T  0.034 298  21.0   8
201303078  27.246655   91.340724     7.582     517.4    522.2   3102.8 2013 03 25 00 44 24.669  2.4 T  0.055  96  15.0  18
201303079  26.765410   91.175434    34.672   10621.3   2153.5  13797.4 2013 03 25 07 09 08.970  1.6 T  0.033 306  32.0   6
201303080  27.252389   91.466541    11.176    2242.0    747.5   1826.3 2013 03 25 21 14 00.968  1.0 T  0.082 217   5.2   9
201303081  27.391234   88.821117    53.109    7508.6   3141.9  16204.7 2013 03 25 22 31 40.949  1.9 T  0.051 315  74.4  11
201303082  27.217985   89.765366    25.746    1465.4    786.6   2210.3 2013 03 27 21 31 30.682  1.5 T  0.030 120  21.7  12
201303083  27.285974   91.505544    11.645    1515.2    605.7   1421.9 2013 03 27 22 22 54.791  0.7 T  0.048 140   0.9  10
201303084  27.430552   89.900315     6.547    2643.2  12011.9  21961.9 2013 03 28 11 22 40.375  1.8 T  0.011 149  22.3   5
201303085  27.479701   91.877787     9.828    5470.7   1629.0   9446.6 2013 03 28 16 32 35.732  1.2 T  0.046 284  32.3   9
201303086  28.272629   91.279626    16.078    4456.8   3839.9  10298.6 2013 03 30 03 13 27.676  3.7 T  0.043 336  67.3   8
201303087  26.955451   89.213630    29.047    5359.3   1241.8   7103.6 2013 03 30 07 01 48.662  2.3 T  0.076 299  30.6  17
201303088  27.116002   89.062702    29.828    8114.2   2198.4  14095.2 2013 03 30 16 48 05.927  1.8 T  0.037 308  47.3   9
201303089  27.694725   90.393582    18.441     374.6    962.4   1817.1 2013 03 30 23 29 26.958  3.1 T  0.184 161  24.5  27
201304002  27.157779   92.480034    55.570    1396.5   1156.5    857.9 2013 04 03 01 01 48.292  4.0 T  0.192 308  87.4  31
201304003  27.664827   92.837357    11.156   10644.2   4607.8  10234.8 2013 04 03 03 47 59.954  4.2 T  0.241 291 128.3  16
201304004  27.101258   88.430732    42.094   23407.7   4554.6   7034.4 2013 04 03 17 50 13.965  2.8 T  0.137 328 109.7   8
201304005  27.005418   89.222713    34.320    3162.7   1374.2   2421.9 2013 04 04 04 43 49.686  2.5 T  0.053 296  30.8  12
201304006  27.804900   89.132871    14.008    2346.7   1333.7   5515.4 2013 04 04 18 29 52.219  2.8 T  0.143 298  58.7  12
201304007  26.603220   92.694338    54.594   21332.7   7192.0  27004.7 2013 04 05 12 46 23.327  3.1 T  0.048 340 120.3   6
201304008  27.201193   91.448828     9.516    2979.3   1051.7   5415.4 2013 04 05 13 16 39.992  1.3 T  0.033 201  10.5   8
201304009  27.201603   91.448141     9.809    1564.4    652.5   3579.8 2013 04 05 15 04 14.265  0.9 T  0.036 105  10.5  11
201304010  27.201603   91.453667    10.902    1126.7    604.2   1852.7 2013 04 05 15 08 46.586  1.7 T  0.041 104  10.2  13
201304011  27.203241   91.453681    10.355    1339.6    591.0   4114.8 2013 04 05 15 52 59.597  1.6 T  0.036 104  13.2  12
201304012  27.801623   89.121800    13.461    2932.3   1336.0   5919.5 2013 04 05 16 06 54.656  2.6 T  0.083 299  59.8  12
201304013  26.969376   89.173491    34.555    3159.7   1240.9   2736.4 2013 04 05 17 30 28.037  2.2 T  0.060 306  37.7  12
201304014  27.199145   91.453646    11.020    1028.6    526.2   1704.1 2013 04 05 18 27 49.699  2.3 T  0.044 105  10.4  16
201304015  27.202422   91.450911    10.590    1200.5    649.4   3788.9 2013 04 05 18 34 21.510  2.1 T  0.048 104  10.2  12
201304016  27.316692   91.531407    12.523    2462.0    933.2   1459.4 2013 04 06 14 40 07.630  1.0 T  0.028 145   4.7   8
201304017  27.456765   91.971659    -2.828    5189.4   1521.5   9946.8 2013 04 06 23 03 34.860  1.6 T  0.133 289  40.3   9
201304018  25.994599   89.857252    42.680    1472.6   2147.3   5636.0 2013 04 07 12 43 37.885  3.2 T  0.116 310 108.3  15
201304019  27.278192   88.925129    28.031    4642.6   3424.0   8561.6 2013 04 07 13 41 53.952  2.3 T  0.071 316  64.4   6
201304020  25.544891   91.024051    27.562    2047.6   3080.2   7032.5 2013 04 07 20 01 41.303  3.1 T  0.078 242  83.4  13
201304021  26.885824   89.279172    25.961    5800.3   1318.7   6344.1 2013 04 08 16 40 15.442  2.0 T  0.084 313  28.3  14
201304022  26.391882   89.208998    20.922    4614.6   4370.7   6374.6 2013 04 09 14 28 05.593  2.8 T  0.141 324  67.0   8
201304023  26.491817   92.197976    58.344   17104.9   4128.9  23041.7 2013 04 09 17 54 18.158  2.4 T  0.081 333  77.7   7
201304024  28.659263   91.741769    -3.922    6714.0   2706.6   8647.1 2013 04 09 20 37 14.927  3.0 T  0.097 343 112.3   6
201304025  27.400244   91.612456     5.180    2198.0   1055.9   3273.0 2013 04 09 20 42 57.491  0.8 T  0.042 248   5.3   8
201304026  25.544481   91.626658    20.629    2361.7   1240.5   1971.7 2013 04 09 21 46 29.064  3.9 T  0.241 231  23.1  17
201304027  26.916951   89.300883    26.117    2656.0    944.8   1857.4 2013 04 09 23 42 13.563  1.9 T  0.066 299  21.8  15
201304028  26.155970   89.074730    31.547    3535.2   2045.9   5230.9 2013 04 10 19 31 29.316  3.2 T  0.069 333  96.5  15
201304029  27.428504   91.440392    13.559    2063.1    835.9   4041.6 2013 04 12 13 15 14.713  1.4 T  0.044 149  11.8  12
201304030  27.406797   92.072029    -3.961    2766.2   1086.4   7364.7 2013 04 13 01 49 09.489  2.6 T  0.164 288  49.2  12
201304031  26.998865   89.253125    26.664    3224.6   1359.5   2947.6 2013 04 13 13 45 37.155  2.0 T  0.057 293  27.8   9
